id,created_at,price,area,street,ward,district,post_date,num_bedroom,num_diningroom,num_kitchen,num_toilet,num_floor,current_floor,direction,street_width
60,2024-05-12T07:11:02.142632+00:00,1.8,16,Khương Trung,Khương Trung,Thanh Xuân,2023-12-26 00:00:00,0,0,0,1,5,4,0,0
61,2024-05-12T07:11:07.78508+00:00,6.9,40,Nguyễn Khang,Yên Hòa,Cầu Giấy,2023-12-30 00:00:00,1,0,1,1,0,0,0,4
62,2024-05-12T07:11:12.700322+00:00,3.0,40,Tư Đình,Long Biên,Long Biên,2023-12-24 00:00:00,1,0,1,1,0,0,Đông nam,0
63,2024-05-12T07:11:17.784271+00:00,3.6,25,Yên Phúc,Phúc La,Hà Đông,2024-01-11 00:00:00,0,0,0,1,0,0,0,0
64,2024-05-12T07:11:23.489469+00:00,3.0,20,Phùng Hưng,Phú La,Hà Đông,2024-01-11 00:00:00,0,0,1,0,0,0,0,0
65,2024-05-12T07:11:27.790202+00:00,4.199,30,Hàng Bông,Kiến Hưng,Hà Đông,2024-01-11 00:00:00,0,0,0,0,0,0,0,0
66,2024-05-12T07:11:32.845559+00:00,3.799,25,Hà Trì,Hà Cầu,Hà Đông,2024-01-11 00:00:00,0,0,1,1,7,0,0,0
67,2024-05-12T07:11:38.427283+00:00,3.8,25,Liên Xá,Tân Triều,Thanh Trì,2024-01-11 00:00:00,0,1,1,1,9,0,0,0
68,2024-05-12T07:11:43.967834+00:00,3.499,25,Đường Xóm 1,Tân Triều,Thanh Trì,2024-01-11 00:00:00,0,0,1,1,7,0,0,0
69,2024-05-12T07:11:50.349163+00:00,3.599,20,Liên Xá,Tân Triều,Thanh Trì,2024-01-11 00:00:00,0,0,1,1,5,0,0,0
70,2024-05-12T07:11:55.413933+00:00,3.799,30,Nguyễn Trãi,Yên Nghĩa,Hà Đông,2024-01-11 00:00:00,1,0,1,1,7,0,0,0
71,2024-05-12T07:12:01.60952+00:00,3.999,25,Liên Xá,Tân Triều,Thanh Trì,2024-01-11 00:00:00,0,0,1,1,6,0,0,0
72,2024-05-12T07:12:07.287087+00:00,4.199,25,Ba La,Phúc La,Hà Đông,2024-01-11 00:00:00,0,0,1,1,5,0,0,0
73,2024-05-12T07:12:13.945253+00:00,3.0,30,Định Công,Định Công,Hoàng Mai,2023-11-05 00:00:00,2,0,1,3,0,0,0,0
74,2024-05-12T07:12:17.258635+00:00,3.0,24,Nguyễn Khang,Yên Hòa,Cầu Giấy,2023-11-06 00:00:00,0,0,1,1,1,4,0,0
75,2024-05-12T07:12:22.724184+00:00,3.8,25,Phan Trọng Tuệ,Tân Triều,Thanh Trì,2023-11-24 00:00:00,0,0,1,0,0,0,0,0
76,2024-05-12T07:12:27.631892+00:00,3.5,20,Xuân Phương,Phương Canh,Nam Từ Liêm,2023-11-22 00:00:00,0,0,0,0,0,0,0,0
77,2024-05-12T07:12:33.225478+00:00,4.0,35,Dương Quảng Hàm,Quan Hoa,Cầu Giấy,2023-11-19 00:00:00,0,0,1,1,0,0,0,0
78,2024-05-12T07:12:38.866922+00:00,50.0,85,Thú Y,Trung Hòa,Cầu Giấy,2023-11-20 00:00:00,0,0,0,0,5,0,0,0
79,2024-05-12T07:12:43.553859+00:00,3.2,30,Đường Quốc Lộ 5,Di Trạch,Hoài Đức,2023-11-21 00:00:00,0,0,0,0,0,0,0,0
80,2024-05-12T07:12:49.305363+00:00,3.8,25,Ba La,Phú La,Hà Đông,2023-11-24 00:00:00,0,0,1,0,0,0,0,0
81,2024-05-12T07:12:53.742421+00:00,3.6,25,Triều Khúc,Thanh Xuân Nam,Thanh Xuân,2023-11-24 00:00:00,0,0,1,0,0,0,0,0
82,2024-05-12T07:12:59.144136+00:00,1.499,60,Quan Nhân,Nhân Chính,Thanh Xuân,2023-11-26 00:00:00,0,0,1,0,5,0,0,0
83,2024-05-12T07:13:05.148441+00:00,6.0,35,Đường Hà Huy Tập,Mỹ Đình 2,Nam Từ Liêm,2023-11-25 00:00:00,1,0,1,0,0,0,0,0
84,2024-05-12T07:13:10.854213+00:00,1.5,60,Quan Nhân,Nhân Chính,Thanh Xuân,2023-11-26 00:00:00,0,0,1,0,5,0,0,0
85,2024-05-12T07:13:16.600421+00:00,2.0,20,Núi Trúc,Kim Mã,Ba Đình,2024-01-11 00:00:00,0,0,0,0,0,0,0,0
86,2024-05-12T07:13:22.127702+00:00,8.5,30,Chùa Láng,Láng Thượng,Đống Đa,2024-03-22 00:00:00,0,0,1,0,0,0,0,0
87,2024-05-12T07:13:28.132521+00:00,1.5,60,Quan Nhân,Nhân Chính,Thanh Xuân,2023-11-29 00:00:00,0,0,1,0,5,0,0,0
88,2024-05-12T07:13:33.136107+00:00,0.333,24,Hồ Văn Chương,Hàng Bột,Đống Đa,2024-03-20 00:00:00,0,0,0,1,5,3,0,0
89,2024-05-12T07:13:38.201909+00:00,3.5,20,Xuân Phương,Xuân Phương,Nam Từ Liêm,2023-11-28 00:00:00,0,0,0,0,0,0,0,0
90,2024-05-12T07:13:44.205798+00:00,4.5,40,"KĐT Mễ Trì Thượng, Mễ Trì",Mễ Trì,Nam Từ Liêm,2023-11-28 00:00:00,0,0,0,0,0,0,0,0
91,2024-05-12T07:13:50.200854+00:00,3.9,30,Cầu Đôi,Phú Diễn,Bắc Từ Liêm,2023-11-26 00:00:00,0,0,0,1,7,0,0,0
92,2024-05-12T07:13:56.225563+00:00,5.8,35,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2023-12-04 00:00:00,0,0,0,0,0,0,0,0
93,2024-05-12T07:14:00.602188+00:00,2.4,18,Hồng Liên,Tứ Liên,Tây Hồ,2023-12-02 00:00:00,0,0,1,1,0,0,0,0
94,2024-05-12T07:14:07.079278+00:00,2.5,20,Nguyễn Lương Bằng,Ô Chợ Dừa,Đống Đa,2023-12-02 00:00:00,0,0,0,1,0,0,0,0
95,2024-05-12T07:14:12.457071+00:00,2.5,20,Nguyễn Lương Bằng,Ô Chợ Dừa,Đống Đa,2023-12-02 00:00:00,0,0,0,0,0,0,0,0
96,2024-05-12T07:14:17.467327+00:00,2.5,20,Hồng Liên,Tứ Liên,Tây Hồ,2023-12-02 00:00:00,0,0,0,0,0,0,0,0
97,2024-05-12T07:14:23.220135+00:00,5.2,25,Lạc Long Quân,Xuân La,Tây Hồ,2023-11-29 00:00:00,0,0,1,0,0,0,0,0
98,2024-05-12T07:14:28.735824+00:00,2.3,18,Hồng Liên,Tứ Liên,Tây Hồ,2023-12-02 00:00:00,0,0,1,1,1,1,0,0
99,2024-05-12T07:14:33.486072+00:00,4.3,25,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2023-12-04 00:00:00,0,0,0,0,0,0,0,0
100,2024-05-12T07:14:39.304835+00:00,5.0,30,Đại Lộ Thăng Long,Mễ Trì,Nam Từ Liêm,2023-12-04 00:00:00,0,0,0,0,0,0,0,0
101,2024-05-12T07:14:44.719985+00:00,5.0,25,Mỹ Đình,Mỹ Đình 2,Nam Từ Liêm,2023-12-04 00:00:00,0,0,0,0,0,0,0,0
102,2024-05-12T07:14:49.793764+00:00,4.5,28,Hồ Tùng Mậu,Mai Dịch,Cầu Giấy,2024-01-17 00:00:00,0,0,0,0,0,0,0,0
103,2024-05-12T07:14:54.694057+00:00,4.2,28,Đình Thôn,Mỹ Đình 2,Nam Từ Liêm,2024-01-17 00:00:00,0,0,1,0,0,0,0,0
104,2024-05-12T07:15:00.750657+00:00,4.0,30,Cầu Giấy,Dịch Vọng,Cầu Giấy,2024-01-17 00:00:00,0,0,1,0,0,0,0,0
105,2024-05-12T07:15:05.748317+00:00,3.7,30,Yên Phụ,Phú Thượng,Tây Hồ,2024-01-17 00:00:00,0,0,0,0,0,0,0,0
