id,created_at,price,area,street,ward,district,post_date,num_bedroom,num_diningroom,num_kitchen,num_toilet,num_floor,current_floor,direction,street_width,price_zscore,area_zscore
48,2024-05-12T07:09:52.986009+00:00,4.5,25,Lê Trọng Tấn,Khương Mai,Thanh Xuân,2023-10-19 00:00:00,0,0,0,0,0,0,0,0,0.14096783894174728,-0.10920795484313404
49,2024-05-12T07:09:57.988467+00:00,5.2,35,Quan Nhân,Nhân Chính,Thanh Xuân,2023-10-19 00:00:00,0,0,1,1,4,0,0,0,0.209989540052133,0.41892794419007157
51,2024-05-12T07:10:10.0318+00:00,5.8,35,Nguyễn Lương Bằng,Quang Trung,Đống Đa,2023-10-19 00:00:00,0,0,1,1,7,0,0,0,0.26915099814674925,0.41892794419007157
52,2024-05-12T07:10:14.548131+00:00,4.2,30,Hàng Bông,Kiến Hưng,Hà Đông,2023-12-18 00:00:00,0,0,1,0,0,0,0,0,0.11138710989443913,0.15485999467346875
53,2024-05-12T07:10:19.672899+00:00,3.7,25,Tân Triều,Thanh Xuân Nam,Thanh Xuân,2023-10-28 00:00:00,0,0,1,1,0,0,0,0,0.06208589481559221,-0.10920795484313404
54,2024-05-12T07:10:25.391359+00:00,5.5,30,rỗng,Dịch Vọng Hậu,Cầu Giấy,2023-10-10 00:00:00,0,0,0,1,0,0,0,0,0.23957026909944112,0.15485999467346875
55,2024-05-12T07:10:31.331719+00:00,3.5,25,Đê Trần Khát Chân,Thanh Lương,Hai Bà Trưng,2023-12-23 00:00:00,0,0,0,1,0,3,0,0,0.04236540878405342,-0.10920795484313404
56,2024-05-12T07:10:36.999197+00:00,3.0,30,Nguyễn Xiển,Văn Quán,Hà Đông,2023-12-22 00:00:00,0,0,0,0,0,0,0,0,-0.006935806294793509,0.15485999467346875
57,2024-05-12T07:10:44.37654+00:00,2.9,20,Định Công,Định Công,Hoàng Mai,2023-12-29 00:00:00,0,0,0,0,0,0,0,0,-0.016796049310562902,-0.37327590435973684
58,2024-05-12T07:10:50.441616+00:00,4.6,25,Quan Nhân,Nhân Chính,Thanh Xuân,2024-01-08 00:00:00,2,0,1,1,0,0,0,0,0.15082808195751662,-0.10920795484313404
60,2024-05-12T07:11:02.142632+00:00,1.8,16,Khương Trung,Khương Trung,Thanh Xuân,2023-12-26 00:00:00,0,0,0,1,5,4,0,0,-0.12525872248402614,-0.5845302639730191
62,2024-05-12T07:11:12.700322+00:00,3.0,40,Tư Đình,Long Biên,Long Biên,2023-12-24 00:00:00,1,0,1,1,0,0,Đông nam,0,-0.006935806294793509,0.6829958937066744
63,2024-05-12T07:11:17.784271+00:00,3.6,25,Yên Phúc,Phúc La,Hà Đông,2024-01-11 00:00:00,0,0,0,1,0,0,0,0,0.05222565179982281,-0.10920795484313404
64,2024-05-12T07:11:23.489469+00:00,3.0,20,Phùng Hưng,Phú La,Hà Đông,2024-01-11 00:00:00,0,0,1,0,0,0,0,0,-0.006935806294793509,-0.37327590435973684
65,2024-05-12T07:11:27.790202+00:00,4.199,30,Hàng Bông,Kiến Hưng,Hà Đông,2024-01-11 00:00:00,0,0,0,0,0,0,0,0,0.11128850746428141,0.15485999467346875
66,2024-05-12T07:11:32.845559+00:00,3.799,25,Hà Trì,Hà Cầu,Hà Đông,2024-01-11 00:00:00,0,0,1,1,7,0,0,0,0.07184753540120388,-0.10920795484313404
67,2024-05-12T07:11:38.427283+00:00,3.8,25,Liên Xá,Tân Triều,Thanh Trì,2024-01-11 00:00:00,0,1,1,1,9,0,0,0,0.07194613783136156,-0.10920795484313404
68,2024-05-12T07:11:43.967834+00:00,3.499,25,Đường Hạ Đình,Tân Triều,Thanh Trì,2024-01-11 00:00:00,0,0,1,1,7,0,0,0,0.042266806353895736,-0.10920795484313404
69,2024-05-12T07:11:50.349163+00:00,3.599,20,Liên Xá,Tân Triều,Thanh Trì,2024-01-11 00:00:00,0,0,1,1,5,0,0,0,0.05212704936966513,-0.37327590435973684
70,2024-05-12T07:11:55.413933+00:00,3.799,30,Nguyễn Trãi,Yên Nghĩa,Hà Đông,2024-01-11 00:00:00,1,0,1,1,7,0,0,0,0.07184753540120388,0.15485999467346875
71,2024-05-12T07:12:01.60952+00:00,3.999,25,Liên Xá,Tân Triều,Thanh Trì,2024-01-11 00:00:00,0,0,1,1,6,0,0,0,0.09156802143274266,-0.10920795484313404
72,2024-05-12T07:12:07.287087+00:00,4.199,25,Ba La,Phúc La,Hà Đông,2024-01-11 00:00:00,0,0,1,1,5,0,0,0,0.11128850746428141,-0.10920795484313404
73,2024-05-12T07:12:13.945253+00:00,3.0,30,Định Công,Định Công,Hoàng Mai,2023-11-05 00:00:00,2,0,1,3,0,0,0,0,-0.006935806294793509,0.15485999467346875
74,2024-05-12T07:12:17.258635+00:00,3.0,24,Nguyễn Khang,Yên Hòa,Cầu Giấy,2023-11-06 00:00:00,0,0,1,1,1,4,0,0,-0.006935806294793509,-0.1620215447464546
75,2024-05-12T07:12:22.724184+00:00,3.8,25,Phan Trọng Tuệ,Tân Triều,Thanh Trì,2023-11-24 00:00:00,0,0,1,0,0,0,0,0,0.07194613783136156,-0.10920795484313404
76,2024-05-12T07:12:27.631892+00:00,3.5,20,Xuân Phương,Phương Canh,Nam Từ Liêm,2023-11-22 00:00:00,0,0,0,0,0,0,0,0,0.04236540878405342,-0.37327590435973684
77,2024-05-12T07:12:33.225478+00:00,4.0,35,Dương Quảng Hàm,Quan Hoa,Cầu Giấy,2023-11-19 00:00:00,0,0,1,1,0,0,0,0,0.09166662386290035,0.41892794419007157
79,2024-05-12T07:12:43.553859+00:00,3.2,30,Đường Sơn Đồng,Di Trạch,Hoài Đức,2023-11-21 00:00:00,0,0,0,0,0,0,0,0,0.01278467973674528,0.15485999467346875
80,2024-05-12T07:12:49.305363+00:00,3.8,25,Ba La,Phú La,Hà Đông,2023-11-24 00:00:00,0,0,1,0,0,0,0,0,0.07194613783136156,-0.10920795484313404
81,2024-05-12T07:12:53.742421+00:00,3.6,25,Triều Khúc,Thanh Xuân Nam,Thanh Xuân,2023-11-24 00:00:00,0,0,1,0,0,0,0,0,0.05222565179982281,-0.10920795484313404
83,2024-05-12T07:13:05.148441+00:00,6.0,35,Đường Phú Đô,Mỹ Đình 2,Nam Từ Liêm,2023-11-25 00:00:00,1,0,1,0,0,0,0,0,0.28887148417828806,0.41892794419007157
85,2024-05-12T07:13:16.600421+00:00,2.0,20,Núi Trúc,Kim Mã,Ba Đình,2024-01-11 00:00:00,0,0,0,0,0,0,0,0,-0.10553823645248736,-0.37327590435973684
88,2024-05-12T07:13:33.136107+00:00,0.333,24,Hồ Văn Chương,Hàng Bột,Đống Đa,2024-03-20 00:00:00,0,0,0,1,5,3,0,0,-0.269908487525363,-0.1620215447464546
89,2024-05-12T07:13:38.201909+00:00,3.5,20,Xuân Phương,Xuân Phương,Nam Từ Liêm,2023-11-28 00:00:00,0,0,0,0,0,0,0,0,0.04236540878405342,-0.37327590435973684
90,2024-05-12T07:13:44.205798+00:00,4.5,40,"KĐT Mễ Trì Thượng, Mễ Trì",Mễ Trì,Nam Từ Liêm,2023-11-28 00:00:00,0,0,0,0,0,0,0,0,0.14096783894174728,0.6829958937066744
91,2024-05-12T07:13:50.200854+00:00,3.9,30,Cầu Đôi,Phú Diễn,Bắc Từ Liêm,2023-11-26 00:00:00,0,0,0,1,7,0,0,0,0.08180638084713095,0.15485999467346875
92,2024-05-12T07:13:56.225563+00:00,5.8,35,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2023-12-04 00:00:00,0,0,0,0,0,0,0,0,0.26915099814674925,0.41892794419007157
93,2024-05-12T07:14:00.602188+00:00,2.4,18,Hồng Liên,Tứ Liên,Tây Hồ,2023-12-02 00:00:00,0,0,1,1,0,0,0,0,-0.06609726438940983,-0.47890308416637795
94,2024-05-12T07:14:07.079278+00:00,2.5,20,Nguyễn Lương Bằng,Ô Chợ Dừa,Đống Đa,2023-12-02 00:00:00,0,0,0,1,0,0,0,0,-0.056237021373640436,-0.37327590435973684
95,2024-05-12T07:14:12.457071+00:00,2.5,20,Nguyễn Lương Bằng,Ô Chợ Dừa,Đống Đa,2023-12-02 00:00:00,0,0,0,0,0,0,0,0,-0.056237021373640436,-0.37327590435973684
96,2024-05-12T07:14:17.467327+00:00,2.5,20,Hồng Liên,Tứ Liên,Tây Hồ,2023-12-02 00:00:00,0,0,0,0,0,0,0,0,-0.056237021373640436,-0.37327590435973684
97,2024-05-12T07:14:23.220135+00:00,5.2,25,Lạc Long Quân,Xuân La,Tây Hồ,2023-11-29 00:00:00,0,0,1,0,0,0,0,0,0.209989540052133,-0.10920795484313404
98,2024-05-12T07:14:28.735824+00:00,2.3,18,Hồng Liên,Tứ Liên,Tây Hồ,2023-12-02 00:00:00,0,0,1,1,1,1,0,0,-0.07595750740517923,-0.47890308416637795
99,2024-05-12T07:14:33.486072+00:00,4.3,25,Trần Thái Tông,Dịch Vọng Hậu,Cầu Giấy,2023-12-04 00:00:00,0,0,0,0,0,0,0,0,0.12124735291020848,-0.10920795484313404
100,2024-05-12T07:14:39.304835+00:00,5.0,30,Đại Lộ Thăng Long,Mễ Trì,Nam Từ Liêm,2023-12-04 00:00:00,0,0,0,0,0,0,0,0,0.1902690540205942,0.15485999467346875
101,2024-05-12T07:14:44.719985+00:00,5.0,25,Mỹ Đình,Mỹ Đình 2,Nam Từ Liêm,2023-12-04 00:00:00,0,0,0,0,0,0,0,0,0.1902690540205942,-0.10920795484313404
102,2024-05-12T07:14:49.793764+00:00,4.5,28,Hồ Tùng Mậu,Mai Dịch,Cầu Giấy,2024-01-17 00:00:00,0,0,0,0,0,0,0,0,0.14096783894174728,0.04923281486682764
103,2024-05-12T07:14:54.694057+00:00,4.2,28,Đình Thôn,Mỹ Đình 2,Nam Từ Liêm,2024-01-17 00:00:00,0,0,1,0,0,0,0,0,0.11138710989443913,0.04923281486682764
104,2024-05-12T07:15:00.750657+00:00,4.0,30,Cầu Giấy,Dịch Vọng,Cầu Giấy,2024-01-17 00:00:00,0,0,1,0,0,0,0,0,0.09166662386290035,0.15485999467346875
